age,income,credit_history_months,num_credit_accounts,debt_ratio,num_late_payments,target,status
39,200,13,2,0.35120302037850243,1,0.0,approved
33,198,3,3,0.3388925365868558,0,0.0,approved
41,166,2,2,0.23291129546092576,1,0.0,approved
50,210,3,4,0.2251230317300099,1,1.0,approved
32,358,31,3,0.5410984032558188,1,0.0,approved
32,166,1,4,0.12765123711691692,0,1.0,approved
50,419,14,2,0.2831002723274731,2,1.0,approved
42,317,50,3,0.44005376243782374,1,0.0,approved
30,172,12,3,0.4691565086205485,1,0.0,approved
40,231,51,4,0.28916718339047304,0,0.0,approved
30,552,49,2,0.15153336941339998,2,0.0,approved
30,358,10,4,0.5820604798660982,2,0.0,approved
37,249,46,2,0.2327713529402559,1,1.0,approved
20,220,49,3,0.13621852765668,0,1.0,approved
20,258,18,4,0.25625000640783974,2,0.0,approved
29,192,8,4,0.3107366270081587,0,1.0,approved
24,166,26,4,0.26654549949457507,0,0.0,approved
38,689,91,2,0.18666171288628708,1,1.0,approved
25,268,36,0,0.17175592936272688,4,0.0,approved
20,303,6,3,0.5787188304558077,0,1.0,approved
49,241,41,2,0.568621893325827,2,1.0,approved
32,172,20,3,0.23075052078226377,0,0.0,approved
35,226,32,1,0.20969165604662282,3,0.0,approved
20,166,47,3,0.17922216099050697,1,0.0,approved
29,775,26,3,0.20779259171739692,1,1.0,approved
36,166,60,2,0.64472069698623,3,0.0,approved
23,166,46,0,0.49181242327634633,1,0.0,approved
38,199,34,5,0.42129101007500463,2,0.0,approved
28,473,5,4,0.2790667525276451,3,0.0,approved
32,250,65,2,0.12782783375884743,0,0.0,approved
28,166,98,2,0.16938287436157318,1,0.0,approved
53,465,5,2,0.15318501530383202,0,1.0,approved
34,358,24,2,0.029228024270398306,2,1.0,approved
24,325,10,5,0.3946885760320652,1,0.0,approved
43,355,50,6,0.3365930309757324,3,0.0,approved
22,822,46,3,0.5883709940908406,2,1.0,approved
37,740,5,3,0.12191061287037737,1,1.0,approved
20,176,75,1,0.16844190107059648,2,0.0,approved
21,559,7,2,0.49371540619394605,0,1.0,approved
36,300,57,4,0.16853580951655503,0,1.0,approved
42,318,21,3,0.39871483228436416,1,0.0,approved
36,166,14,2,0.061744391061145695,1,0.0,approved
33,228,6,3,0.06863204461888422,1,0.0,approved
31,166,6,0,0.3177125065023146,0,0.0,approved
20,375,39,2,0.3520403147660942,1,0.0,approved
27,424,28,1,0.18503306122536775,0,0.0,approved
30,166,4,3,0.20962537149847085,0,0.0,approved
45,245,4,4,0.5182513387183952,0,0.0,approved
38,435,2,5,0.2596368176484737,0,1.0,approved
20,226,49,1,0.029042319469350136,2,1.0,approved
38,357,44,6,0.3407018768830402,0,1.0,approved
31,296,2,1,0.2893411987683426,0,0.0,approved
28,294,29,1,0.40740204720628626,2,1.0,approved
41,216,3,1,0.062499335224139294,3,1.0,approved
45,166,84,2,0.1414616127001699,1,1.0,approved
44,166,85,5,0.1685410446909614,1,1.0,approved
26,354,43,3,0.3221299032443101,2,0.0,approved
31,250,93,3,0.06461219813779735,2,1.0,approved
38,231,60,5,0.4193517207324464,0,0.0,approved
44,200,63,4,0.20070138559028924,0,1.0,approved
30,213,30,2,0.17756107178988473,0,0.0,approved
33,419,13,1,0.3065634946249803,0,1.0,approved
23,210,8,2,0.4129702391189519,1,1.0,approved
23,166,14,4,0.22356965345217492,0,0.0,approved
43,360,35,2,0.06343570728701729,1,1.0,approved
48,224,6,3,0.18151236493726156,1,0.0,approved
34,252,10,4,0.36968782217759844,1,0.0,approved
45,554,22,5,0.1527253582489525,1,1.0,approved
38,245,9,0,0.1575776979731351,1,1.0,approved
28,287,31,5,0.21116965636885365,0,0.0,approved
38,166,92,7,0.17593800226259257,2,0.0,approved
50,222,49,3,0.34634806550569935,1,0.0,approved
34,336,39,3,0.41379361590262403,0,0.0,approved
50,166,31,2,0.08279361175054271,2,1.0,approved
20,274,24,5,0.3539953678158157,0,0.0,approved
43,261,7,2,0.5054279395721879,1,0.0,approved
